compound_name,BBB+/BBB-,MW,LogP,HBD,HBA
sulphasalazine,BBB-,398.4000000000001,3.7016000000000013,3.0,7.0
moxalactam,BBB-,520.4800000000004,-1.127699999999999,4.0,12.0
clioquinol,BBB-,305.502,3.1984000000000004,1.0,2.0
bbcpd11 (cimetidine analog) (y-g13),BBB-,342.266,2.11348,2.0,4.0
schembl614298,BBB-,461.4670000000001,-1.2364999999999988,5.0,9.0
"uk-240,455",BBB-,368.19800000000015,0.2814999999999999,3.0,5.0
morphine-6-glucuronide,BBB-,461.4670000000001,-0.8853999999999989,5.0,9.0
nitrofurantoin,BBB-,238.15899999999996,0.07349999999999995,1.0,6.0
"l-701,324",BBB-,363.80000000000007,5.3464000000000045,2.0,3.0
33419-42-0,BBB-,588.5620000000004,1.3385999999999993,3.0,13.0
icotidine,BBB-,379.46400000000006,2.902520000000001,2.0,6.0
ro 64-0802,BBB-,286.372,0.8643000000000012,3.0,5.0
temelastine,BBB-,442.3610000000001,3.9648400000000024,2.0,5.0
"disodium;(6r,7s)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",BBB-,575.6320000000002,-1.3974999999999984,4.0,14.0
cefotetan,BBB-,575.6320000000002,-1.3974999999999984,4.0,14.0
1848-75-5,BBB-,161.20800000000003,1.0576999999999999,2.0,3.0
"2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one",BBB-,446.3930000000001,2.63014,3.0,5.0
m2l-663581,BBB-,389.7990000000001,1.3610999999999995,2.0,8.0
ritonavir,BBB-,691.9200000000002,6.359700000000007,3.0,9.0
bis-hydroxylated-l-663581,BBB-,403.82600000000014,1.4035999999999993,2.0,8.0
,BBB-,375.77200000000016,1.3186,2.0,8.0
,BBB-,389.7990000000001,1.3610999999999995,2.0,8.0
raloxifene,BBB-,473.5940000000001,6.075200000000007,2.0,6.0
telmesteine,BBB-,205.23499999999999,0.6024,1.0,4.0
chlorambucil,BBB-,304.217,3.377900000000002,1.0,2.0
quercetin,BBB-,302.282,1.3924999999999994,5.0,6.0
sucrose,BBB-,342.297,-5.395599999999993,8.0,11.0
flurbiprofen,BBB-,244.265,3.6808000000000023,1.0,1.0
schembl18285121,BBB-,471.5830000000002,1.0360000000000005,3.0,7.0
d-mannitol,BBB-,182.172,-3.5854000000000004,6.0,6.0
mannitol (d-mannitol),BBB-,182.172,-3.5854000000000004,6.0,6.0
compound 34,BBB-,275.337,1.6733999999999998,3.0,4.0
y22,BBB-,415.29300000000006,4.977700000000001,2.0,4.0
l4,BBB-,543.4780000000003,-5.599199999999991,8.0,15.0
chebi: 145922,BBB-,314.37800000000004,1.18338,4.0,5.0
guanidinothiazol analogue 17 ac1lbibi -- pubmed,BBB-,250.28300000000002,1.1261999999999999,4.0,5.0
cube-2,BBB-,266.33699999999993,2.7723000000000018,2.0,4.0
cube-6,BBB-,430.4970000000001,4.581800000000006,3.0,6.0
cube-10,BBB-,410.46600000000007,4.965400000000005,1.0,6.0
chembl151192,BBB-,442.54500000000013,2.3286,3.0,6.0
amethopterin,BBB-,454.44700000000023,0.2684000000000012,5.0,10.0
rifampicin,BBB-,836.9800000000002,4.725520000000005,6.0,15.0
baclofen,BBB-,213.664,1.857,2.0,2.0
etoposide,BBB-,588.5620000000004,1.3385999999999993,3.0,13.0
methotrexate,BBB-,454.44700000000023,0.2684000000000012,5.0,10.0
imatinib,BBB-,493.6150000000002,4.590320000000004,2.0,7.0
.alpha.-d-ddc,BBB-,211.22099999999998,-0.5046000000000002,2.0,6.0
"mdl 63,246",BBB-,1802.733,4.075700000000003,21.0,29.0
4-hydroxyalprazolam,BBB-,324.771,3.071020000000001,1.0,5.0
etodolac,BBB-,287.35900000000004,3.383000000000002,2.0,2.0
atenolol,BBB-,252.31399999999996,0.4096000000000001,3.0,4.0
cimetidine,BBB-,252.347,0.23707999999999974,2.0,5.0
cimetidine (y-g1),BBB-,252.347,0.5973999999999997,3.0,4.0
biosone,BBB-,470.69400000000036,6.412600000000009,2.0,3.0
vardenafil,BBB-,488.6140000000004,2.0704199999999995,1.0,8.0
151581-23-6,BBB-,318.37700000000007,1.5429,1.0,6.0
apaxifylline,BBB-,318.37700000000007,1.5429,1.0,6.0
chembl12325,BBB-,380.4080000000001,2.0986,2.0,6.0
sb 239063,BBB-,368.4120000000002,3.6308000000000016,1.0,6.0
sbb079053,BBB-,148.18899999999996,0.21209999999999957,2.0,1.0
4-aminobenzoic acid,BBB-,137.138,0.9670000000000001,2.0,2.0
,BBB-,326.39500000000004,5.6227000000000045,0.0,2.0
"1,3-dimethyl-2-(2-methylphenylimino)imidazolidine",BBB-,203.28899999999996,1.85972,0.0,1.0
tz-17,BBB-,175.23499999999999,1.36612,2.0,3.0
atorvastatin,BBB-,558.6500000000003,6.313600000000008,4.0,5.0
benzoylecgonine,BBB-,303.35800000000006,2.1693999999999996,1.0,4.0
"monohydroxy l-663,581 metabolite",BBB-,373.80000000000007,2.388700000000001,1.0,7.0
dcka,BBB-,258.05999999999995,2.5331,2.0,2.0
didanosine,BBB-,236.23099999999997,-0.21050000000000008,2.0,6.0
salbutamol ,BBB-,239.315,1.3059999999999998,4.0,4.0
sildenafil,BBB-,474.5870000000004,1.6109,1.0,8.0
sk&f 93319,BBB-,448.59200000000016,4.513800000000003,2.0,6.0
sb-271406,BBB-,452.00100000000026,4.082120000000003,2.0,6.0
indomethacin,BBB-,357.793,3.9273200000000026,1.0,4.0
skf 93319,BBB-,379.46400000000006,2.902520000000001,2.0,6.0
"n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine",BBB-,217.316,2.16814,0.0,1.0
4794-83-6,BBB-,189.26200000000003,1.67454,2.0,3.0
schembl1704876,BBB-,508.43500000000034,3.658520000000003,3.0,9.0
diclazuril,BBB-,407.6440000000001,3.536480000000002,1.0,5.0
compound-9,BBB-,211.26499999999993,0.8145999999999995,2.0,4.0
yg19,BBB-,204.298,2.3113,1.0,3.0
17 zm0241385,BBB-,337.343,1.7216999999999998,3.0,9.0
diclofenac,BBB-,296.153,4.364100000000001,2.0,2.0
l-dideoxyinosine,BBB-,236.23099999999997,-0.21050000000000008,2.0,6.0
didanosine,BBB-,236.23099999999997,-0.21050000000000008,2.0,6.0
α-hydroxyalprazolam (alpha-hydroxyalprazolam),BBB-,324.7710000000001,2.764000000000001,1.0,5.0
schembl13579049,BBB-,359.80899999999997,3.9558000000000026,1.0,3.0
zinc27644005,BBB-,359.80899999999997,3.9558000000000026,1.0,3.0
p-phenylbenzoic acid,BBB-,198.221,3.051800000000001,1.0,1.0
,BBB-,300.384,1.3178999999999998,2.0,7.0
ls-190695,BBB-,314.411,1.4589999999999999,2.0,7.0
ranitidine,BBB-,329.4260000000001,0.9736000000000005,2.0,6.0
n-[3-[5-[(dimethylamino)methyl]furan-2-yl]sulfanylpropyl]-n'-methyl-2-nitroethanimidamide,BBB-,314.411,1.7180000000000002,1.0,6.0
chembl1907165,BBB-,314.411,1.4689999999999999,1.0,6.0
ranitidine base,BBB-,314.411,1.4589999999999999,2.0,7.0
,BBB-,300.384,1.3278999999999999,1.0,6.0
digoxin,BBB-,780.9490000000003,2.218100000000003,6.0,14.0
compound 5,BBB-,474.64900000000034,4.924440000000004,1.0,5.0
ftc; emtricitabine,BBB-,247.25099999999998,-0.4550000000000003,2.0,7.0
cogoxin,BBB-,780.9490000000002,2.218100000000003,6.0,14.0
nsc606170,BBB-,211.22099999999998,-0.5046000000000002,2.0,6.0
"2',3'-dideoxycytidine (zalcitabine)",BBB-,211.22099999999998,-0.5046000000000002,2.0,6.0
bufotenine,BBB-,204.273,1.9776,2.0,2.0
y12,BBB-,367.4010000000001,2.9093000000000018,1.0,5.0
y-g12 (bbcpd10),BBB-,204.237,0.5148999999999999,2.0,5.0
72801-60-6,BBB-,233.3,1.2972,3.0,4.0
chembl1950329,BBB-,524.7120000000003,5.887700000000006,0.0,7.0
az599,BBB-,473.63900000000046,3.248300000000002,0.0,6.0
miltefosine,BBB-,408.5840000000001,6.307500000000008,1.0,3.0
acrivastine,BBB-,348.446,4.015320000000003,1.0,3.0
compound 35,BBB-,324.40600000000006,1.7351,1.0,7.0
74188-86-6,BBB-,324.40600000000006,2.9228000000000005,2.0,6.0
bbcpd17,BBB-,310.379,2.7817,2.0,6.0
sulpiride,BBB-,341.4330000000001,0.5567000000000012,2.0,5.0
salicylic acid (2-hydroxybenzoic acid),BBB-,138.12199999999999,1.0903999999999998,2.0,2.0
norfloxacin,BBB-,319.336,1.2683,2.0,5.0
bromocriptine,BBB-,654.6059999999999,3.192800000000001,3.0,6.0
bromocriptine,BBB-,654.6059999999999,3.192800000000001,3.0,6.0
ergotamine,BBB-,597.7160000000001,1.5581000000000023,3.0,7.0
