MW,LogP,HBD,HBA,actual,predicted,probability_BBB+,actual_label,predicted_label,correct
806.0000000000001,2.966400000000005,4.0,16.0,0,0,0.01,BBB-,BBB-,True
284.74600000000004,2.6092000000000004,1.0,3.0,1,1,1.0,BBB+,BBB+,True
473.44600000000025,-0.7310999999999979,7.0,9.0,1,1,0.65,BBB+,BBB+,True
155.15299999999996,0.5397000000000001,0.0,3.0,1,1,0.98,BBB+,BBB+,True
594.613,-1.4356999999999966,4.0,15.0,0,0,0.0,BBB-,BBB-,True
672.8000000000001,4.841200000000005,3.0,9.0,1,1,0.96,BBB+,BBB+,True
409.44200000000006,1.733099999999999,2.0,7.0,0,0,0.12,BBB-,BBB-,True
398.67500000000007,7.720900000000008,1.0,1.0,0,0,0.01,BBB-,BBB-,True
1083.2839999999997,1.566300000000007,6.0,18.0,0,0,0.02,BBB-,BBB-,True
466.5490000000003,4.954100000000005,2.0,5.0,1,1,1.0,BBB+,BBB+,True
430.3790000000001,2.8795800000000007,2.0,5.0,1,0,0.13,BBB+,BBB-,False
314.257,1.7404999999999995,1.0,6.0,1,0,0.15,BBB+,BBB-,False
583.5960000000005,-7.948360000000004,15.0,15.0,0,0,0.0,BBB-,BBB-,True
399.40500000000014,3.0745000000000013,0.0,8.0,1,1,0.87,BBB+,BBB+,True
521.0500000000003,4.086800000000004,1.0,7.0,1,1,1.0,BBB+,BBB+,True
528.5730000000003,3.924200000000004,1.0,8.0,1,1,0.992,BBB+,BBB+,True
427.4640000000001,-0.539199999999999,3.0,10.0,0,0,0.00875,BBB-,BBB-,True
414.5310000000002,4.513600000000003,2.0,6.0,1,0,0.385,BBB+,BBB-,False
404.34100000000007,5.4992000000000045,0.0,3.0,1,1,0.85,BBB+,BBB+,True
511.57100000000014,-0.8697999999999984,3.0,14.0,0,0,0.0,BBB-,BBB-,True
298.45500000000004,4.487000000000004,0.0,3.0,1,1,0.99,BBB+,BBB+,True
209.253,0.1723700000000003,3.0,6.0,0,0,0.3501666666666667,BBB-,BBB-,True
202.301,2.20822,1.0,2.0,1,1,0.97,BBB+,BBB+,True
654.6059999999999,3.192800000000001,3.0,6.0,0,0,0.0,BBB-,BBB-,True
213.28099999999992,0.3355999999999997,2.0,3.0,1,0,0.28,BBB+,BBB-,False
